"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2021","168.93","168.69","169.20","168.54","4.88M","0.69%"
"10/22/2021","167.77","168.67","169.54","166.67","10.70M","0.61%"
"10/21/2021","166.75","166.69","166.94","166.25","4.41M","-0.09%"
"10/20/2021","166.90","166.15","167.11","165.93","5.02M","0.88%"
"10/19/2021","165.45","166.50","166.50","165.21","6.59M","0.32%"
"10/18/2021","164.92","165.42","165.59","164.81","4.03M","-0.25%"
"10/15/2021","165.33","165.39","166.09","165.10","8.70M","-1.59%"
"10/14/2021","168.00","168.20","168.22","167.72","5.08M","0.24%"
"10/13/2021","167.59","165.28","167.92","165.28","11.12M","1.78%"
"10/12/2021","164.66","164.58","165.43","164.32","5.45M","0.45%"
"10/11/2021","163.92","164.07","164.58","163.92","3.82M","-0.19%"
"10/08/2021","164.23","166.32","166.42","164.13","8.54M","0.04%"
"10/07/2021","164.16","164.02","164.85","163.97","4.79M","-0.53%"
"10/06/2021","165.03","164.28","165.05","164.16","6.07M","0.27%"
"10/05/2021","164.59","163.94","164.85","163.49","5.62M","-0.47%"
"10/04/2021","165.36","163.70","165.53","163.49","7.65M","0.47%"
"10/01/2021","164.59","164.27","164.96","163.88","6.65M","0.23%"
"09/30/2021","164.22","162.65","164.95","162.36","10.57M","1.80%"
"09/29/2021","161.32","162.32","162.73","160.98","8.36M","-0.45%"
"09/28/2021","162.05","162.76","162.80","161.74","9.28M","-0.97%"
"09/27/2021","163.64","163.85","164.36","163.52","4.94M","0.21%"
"09/24/2021","163.30","163.00","164.00","162.74","6.94M","-0.13%"
"09/23/2021","163.51","164.09","164.20","163.27","8.45M","-1.15%"
"09/22/2021","165.42","165.92","167.14","165.05","9.78M","-0.37%"
"09/21/2021","166.04","165.79","166.62","165.52","7.18M","0.67%"
"09/20/2021","164.94","164.27","165.26","164.08","7.57M","0.71%"
"09/17/2021","163.77","163.86","164.32","163.40","8.37M","-0.16%"
"09/16/2021","164.03","164.35","164.44","163.24","11.78M","-2.26%"
"09/15/2021","167.83","168.13","168.35","167.46","5.62M","-0.59%"
"09/14/2021","168.82","168.25","169.16","167.50","7.92M","0.64%"
"09/13/2021","167.74","167.49","168.20","167.41","5.47M","0.33%"
