Time,Mempool_size
2022-03-18,1481772.0104166667
2022-03-19,1481772.0104166667
2022-03-20,867016.3697916666
2022-03-21,867016.3697916666
2022-03-22,4034568.3854166665
2022-03-23,4034568.3854166665
2022-03-24,2411200.09375
2022-03-25,2411200.09375
2022-03-26,2411200.09375
2022-03-27,842847.8333333334
2022-03-28,842847.8333333334
2022-03-29,1532303.203125
2022-03-30,1532303.203125
2022-03-31,3729815.8541666665
2022-04-01,3729815.8541666665
2022-04-02,5492862.104166667
2022-04-03,5492862.104166667
2022-04-04,1289326.640625
2022-04-05,1289326.640625
2022-04-06,2254366.34375
2022-04-07,2254366.34375
2022-04-08,2254366.34375
2022-04-09,3029426.640625
2022-04-10,3029426.640625
2022-04-11,884297.5729166666
2022-04-12,884297.5729166666
2022-04-13,1688519.4895833333
2022-04-14,1688519.4895833333
2022-04-15,1939429.2291666667
2022-04-16,1939429.2291666667
2022-04-17,758163.6145833334
2022-04-18,758163.6145833334
2022-04-19,4394382.4375
2022-04-20,4394382.4375
2022-04-21,4394382.4375
2022-04-22,2411058.921875
2022-04-23,2411058.921875
2022-04-24,948138.71875
2022-04-25,948138.71875
2022-04-26,2087540.7083333333
2022-04-27,2087540.7083333333
2022-04-28,1641952.3958333333
2022-04-29,1641952.3958333333
2022-04-30,3807834.9791666665
2022-05-01,3807834.9791666665
2022-05-02,3347469.2864583335
2022-05-03,3347469.2864583335
2022-05-04,3347469.2864583335
2022-05-05,20256029.166666668
2022-05-06,20256029.166666668
2022-05-07,3234337.46875
2022-05-08,3234337.46875
2022-05-09,1811331.8802083333
2022-05-10,1811331.8802083333
2022-05-11,2666418.9583333335
2022-05-12,2666418.9583333335
2022-05-13,96600317.51041667
2022-05-14,96600317.51041667
2022-05-15,96600317.51041667
2022-05-16,68912146.328125
2022-05-17,68912146.328125
2022-05-18,3935562.984375
2022-05-19,3935562.984375
2022-05-20,10168555.25
2022-05-21,10168555.25
2022-05-22,951873.1302083334
2022-05-23,951873.1302083334
2022-05-24,1860669.1145833333
2022-05-25,1860669.1145833333
2022-05-26,1957777.9010416667
2022-05-27,1957777.9010416667
2022-05-28,1957777.9010416667
2022-05-29,1294198.8229166667
2022-05-30,1294198.8229166667
2022-05-31,1585007.1458333333
2022-06-01,1585007.1458333333
2022-06-02,6330249.578125
2022-06-03,6330249.578125
2022-06-04,1999748.1197916667
2022-06-05,1999748.1197916667
2022-06-06,1603908.4947916667
2022-06-07,1603908.4947916667
2022-06-08,1451128.65625
2022-06-09,1451128.65625
2022-06-10,1451128.65625
2022-06-11,2579286.265625
2022-06-12,2579286.265625
2022-06-13,1448372.1145833333
2022-06-14,1448372.1145833333
2022-06-15,7658016.197916667
2022-06-16,7658016.197916667
2022-06-17,4676770.786458333
2022-06-18,4676770.786458333
2022-06-19,981652.2760416666
2022-06-20,981652.2760416666
2022-06-21,2799617.6770833335
2022-06-22,2799617.6770833335
2022-06-23,2799617.6770833335
2022-06-24,1035571.96875
2022-06-25,1035571.96875
2022-06-26,12554540.880208334
2022-06-27,12554540.880208334
2022-06-28,11672227.833333334
2022-06-29,11672227.833333334
2022-06-30,1159966.1302083333
2022-07-01,1159966.1302083333
2022-07-02,2823806.90625
2022-07-03,2823806.90625
2022-07-04,1644429.5416666667
2022-07-05,1644429.5416666667
2022-07-06,1644429.5416666667
2022-07-07,7893658.401041667
2022-07-08,7893658.401041667
2022-07-09,1834128.2604166667
2022-07-10,1834128.2604166667
2022-07-11,920626.65625
2022-07-12,920626.65625
2022-07-13,2321227.65625
2022-07-14,2321227.65625
2022-07-15,4833883.520833333
2022-07-16,4833883.520833333
2022-07-17,1466912.515625
2022-07-18,1466912.515625
2022-07-19,1466912.515625
2022-07-20,2952064.3802083335
2022-07-21,2952064.3802083335
2022-07-22,1942466.0833333333
2022-07-23,1942466.0833333333
2022-07-24,797541.4114583334
2022-07-25,797541.4114583334
